File Path,sequence,steps,time_spent,Extra_Steps,num_R,num_T,new_sequence,Clusters
Puzzles/SelectionF15/puzzle_1/student_11,VVOIOTIFPOPEPOPTS,16,438,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_29,VVPOIFRROPIOTTEPPOSRRRS,21,218,5,5,2,VVPOIFRROPIOEPPORRR,2
Puzzles/SelectionF15/puzzle_1/student_18,VVOIOIFPOPEPOPTTS,16,104,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_27,VVTOOFPPPPIRRIRROOETS,20,108,4,4,2,VVOOFPPPPIRRIRROOE,4
Puzzles/SelectionF15/puzzle_1/student_87,IRRVViTIFOPPEPOPROOTTS,21,689,5,3,3,IRRVVIFOPPEPOPROOT,2
Puzzles/SelectionF15/puzzle_1/student_74,VVOIOIFPTOPEPTOPS,16,215,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_42,VVTOIORRTIFOPPEPOPS,18,262,2,2,2,VVOIORRIFOPPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_89,VVOIOIFOPRPEOPPTTS,17,65,1,1,2,VVOIOIFOPRPEOPP,3
Puzzles/SelectionF15/puzzle_1/student_19,VVOIOIFPOPEPOPTTS,16,103,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_102,VVRRoIOIFPOPEPOPTTSRROTS,22,171,6,4,3,VVRRIOIFPOPEPOPRROT,3
Puzzles/SelectionF15/puzzle_1/student_105,VVOIOIFPOPEPOPTTS,16,109,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_28,VIOVFOIoORREPTTPPRTOSRSRRSRRSSSPS,26,488,10,8,3,VIOVFOIORREPPPRTORRRRRP,4
Puzzles/SelectionF15/puzzle_1/student_17,VVOIOIFPOPEPOPTTS,16,149,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_10,IVOTfRVRPRROIFOROPEPPTS,22,313,6,5,2,IVORVRPRROIFOROPEPP,2
Puzzles/SelectionF15/puzzle_1/student_43,VVOIOOTTIRRFPOPPEPSRSRRRRS,23,218,7,7,2,VVOIOOIRRFPOPPEPRRRRR,2
Puzzles/SelectionF15/puzzle_1/student_88,PRRPOeOOROFPPVVTTIISRESRTS,23,559,7,5,3,PRRPOOOROFPPVVIIRERT,4
Puzzles/SelectionF15/puzzle_1/student_75,VVOIOIFPOPEPOPTTS,16,135,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_72,VTVOIOIFPPORPEOPRTS,18,184,2,2,2,VVOIOIFPPORPEOPR,3
Puzzles/SelectionF15/puzzle_1/student_86,VVOIOIFOeOPPTPTPRSTSRRSRSTSRSRSTSTSRSRSRSRSRSRETSRSRSTSTS,38,965,22,14,9,VVOIOIFOOPPPPRTRRRRRTTRRRRERRT,4
Puzzles/SelectionF15/puzzle_1/student_3,IIFPPPPOOVRVTETOOS,17,159,1,1,2,IIFPPPPOOVRVEOO,4
Puzzles/SelectionF15/puzzle_1/student_2,VVOTIOTIFPOPEPOPS,16,115,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_5,VVRRIIOROFoPEPOPPTTSTOS,21,328,5,3,3,VVRRIIOROFPEPOPPTO,2
Puzzles/SelectionF15/puzzle_1/student_50,TVIVIoOOFOETRROPPRRPPSRRS,23,253,7,6,2,VIVIOOFOERROPPRRPPRR,2
Puzzles/SelectionF15/puzzle_1/student_57,TVVOITOIFPOPEPOPS,16,105,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_95,VVOOOOFPRPREPRRRPIITTS,21,134,5,5,2,VVOOOOFPRPREPRRRPII,2
Puzzles/SelectionF15/puzzle_1/student_61,VVTOTIOIFPOPEPOPS,16,117,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_59,IRVVOROPRIFROPEPOPTTS,20,127,4,4,2,IRVVOROPRIFROPEPOP,2
Puzzles/SelectionF15/puzzle_1/student_66,VVIOOIFPOPEPORRPTTS,18,161,2,2,2,VVIOOIFPOPEPORRP,1
Puzzles/SelectionF15/puzzle_1/student_111,VVTOIRROTIFOPPEPOPS,18,196,2,2,2,VVOIRROIFOPPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_58,oRRVTVOIOIFPOPEPOPTS,19,132,3,2,2,RRVVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_93,TViRIVFPOPEPRPIOOOSRRTSRRS,23,375,7,6,2,VRIVFPOPEPRPIOOORRRR,4
Puzzles/SelectionF15/puzzle_1/student_60,VVOITOIFPOPEPOPTS,16,88,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_94,VVOIOIRFOEOPPPPTTS,17,123,1,1,2,VVOIOIRFOEOPPPP,3
Puzzles/SelectionF15/puzzle_1/student_56,VVTOIOIFPOPEOPPTSRRS,18,183,2,2,2,VVOIOIFPOPEOPPRR,3
Puzzles/SelectionF15/puzzle_1/student_51,VVOIOIFTTOEOPPPPS,16,114,0,0,2,VVOIOIFOEOPPPP,3
Puzzles/SelectionF15/puzzle_1/student_34,IVORRVOEIRFPOPRPOPTTS,20,419,4,4,2,IVORRVOEIRFPOPRPOP,2
Puzzles/SelectionF15/puzzle_1/student_110,VVOIRROITTFPOPEPOPS,18,165,2,2,2,VVOIRROIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_33,VVOIOIFPOPEPOPTTS,16,98,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_77,TVVOIOROIFPOPTERRRPTPS,21,96,5,4,3,VVOIOROIFPOPERRRPTP,3
Puzzles/SelectionF15/puzzle_1/student_48,VVOIOIFPORRROEPRRPPTTS,21,364,5,5,2,VVOIOIFPORRROEPRRPP,3
Puzzles/SelectionF15/puzzle_1/student_46,VVOTIOIFPORPEOPPTS,17,147,1,1,2,VVOIOIFPORPEOPP,1
Puzzles/SelectionF15/puzzle_1/student_79,VVTOIOiFPORRPEPOITPS,19,153,3,2,2,VVOIOFPORRPEPOIP,3
Puzzles/SelectionF15/puzzle_1/student_41,VVOIOIFOPEOPPTTTSPS,17,262,1,0,3,VVOIOIFOPEOPPTP,3
Puzzles/SelectionF15/puzzle_1/student_12,VTVOTIOIFPOPEPOPS,16,105,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_100,IOROOIRRRRRRRVVRRFPRRRPREPOPRRTTS,32,214,16,16,2,IOROOIRRRRRRRVVRRFPRPREPOPR,4
Puzzles/SelectionF15/puzzle_1/student_40,VVTOIOIFPOPEPfTRRTOPSRS,21,337,5,3,3,VVOIOIFPOPEPRRTOPR,3
